  0.852  0.014000  0.400    0.852   -0.3112    3.7183    3.7183    5.5279    5.8121    0.3385    0.8081    0.5016  5.941E+10  1.0000   4.506  0.178E-05      1.07      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.218E-02  0.314E-04  0.633E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.856  0.014000  0.400    0.856   -0.2986    3.7199    3.7199    5.4966    5.7755    0.3307    0.8007    0.4967  5.985E+10  1.0000   4.501  0.179E-05      1.08      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.218E-02  0.316E-04  0.633E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.860  0.014000  0.400    0.860   -0.2861    3.7214    3.7214    5.4652    5.7389    0.3230    0.7930    0.4916  6.029E+10  1.0000   4.497  0.179E-05      1.09      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.218E-02  0.318E-04  0.633E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.863  0.014000  0.400    0.863   -0.2735    3.7229    3.7229    5.4338    5.7022    0.3153    0.7853    0.4865  6.074E+10  1.0000   4.492  0.179E-05      1.10      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.218E-02  0.320E-04  0.633E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.867  0.014000  0.400    0.867   -0.2609    3.7244    3.7244    5.4023    5.6655    0.3078    0.7778    0.4814  6.120E+10  1.0000   4.488  0.179E-05      1.11      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.218E-02  0.322E-04  0.633E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.871  0.014000  0.400    0.871   -0.2483    3.7259    3.7259    5.3707    5.6288    0.3003    0.7703    0.4763  6.167E+10  1.0000   4.483  0.180E-05      1.12      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.217E-02  0.324E-04  0.633E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.874  0.014000  0.400    0.874   -0.2356    3.7274    3.7274    5.3390    5.5920    0.2929    0.7629    0.4713  6.215E+10  1.0000   4.478  0.180E-05      1.13      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.217E-02  0.326E-04  0.633E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.878  0.014000  0.400    0.878   -0.2229    3.7289    3.7289    5.3073    5.5552    0.2855    0.7555    0.4662  6.264E+10  1.0000   4.473  0.181E-05      1.14      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.217E-02  0.328E-04  0.633E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.882  0.014000  0.400    0.882   -0.2102    3.7304    3.7304    5.2754    5.5184    0.2781    0.7481    0.4612  6.313E+10  1.0000   4.468  0.182E-05      1.16      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.217E-02  0.331E-04  0.634E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.886  0.014000  0.400    0.886   -0.1974    3.7318    3.7318    5.2435    5.4814    0.2708    0.7408    0.4561  6.364E+10  1.0000   4.463  0.182E-05      1.16      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.217E-02  0.333E-04  0.634E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.889  0.014000  0.400    0.889   -0.1846    3.7333    3.7333    5.2114    5.4443    0.2635    0.7335    0.4510  6.415E+10  1.0000   4.458  0.182E-05      1.17      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.217E-02  0.336E-04  0.634E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.893  0.014000  0.400    0.893   -0.1717    3.7347    3.7347    5.1792    5.4072    0.2563    0.7263    0.4460  6.468E+10  1.0000   4.452  0.183E-05      1.18      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.217E-02  0.338E-04  0.634E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
  0.897  0.014000  0.400    0.897   -0.1588    3.7362    3.7362    5.1469    5.3700    0.2492    0.7192    0.4410  6.522E+10  1.0000   4.447  0.183E-05      1.20      0.00      0.00  0.0000   0.000   0.000  0.0000  0.735E+00  0.250E+00  0.217E-02  0.341E-04  0.634E-03  0.549E-02  0.217E-05  0.123E-04  0.181E-02  0.146E-03  0.000E+00
